"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6332","Playwright Special Locators","","2026-06-26","passed","2026-06-26","","llc.spec.js","",""
"","5747","Upload download excel validation","","2026-06-26","passed","2026-06-26","","uploadDownload.spec.js","",""
"","18524","Browser Context Declaration","","2026-06-26","failed","2026-06-26","","clientAppPo.spec.js","",""
"","11599","Browser Context Declaration","","2026-06-26","passed","2026-06-26","","webApiPart2.spec.js","",""
"","5992","Screenshot and visual comparison","","2026-06-26","passed","2026-06-26","","moreValidations.spec.js","",""
"","5275","UI Controls","","2026-06-26","passed","2026-06-26","","UIBasicstest.spec.js","",""
"","17667","Browser Context Declaration","","2026-06-26","passed","2026-06-26","","ClientAppOtherWay.spec.js","",""
"","6097","Child windows handling","","2026-06-26","passed","2026-06-26","","UIBasicstest.spec.js","",""
"","6039","Login via API and place order","","2026-06-26","passed","2026-06-26","","webApiPart1.spec.js","",""
"","5940","iFrame practice","","2026-06-26","passed","2026-06-26","","moreValidations.spec.js","",""
"","19727","Browser Context Declaration","","2026-06-26","passed","2026-06-26","","ClientApp.spec.js","",""
"","9342","Mouse Hovering","","2026-06-26","passed","2026-06-26","","moreValidations.spec.js","",""
"","6673","Security test request intercept","","2026-06-26","passed","2026-06-26","","networkTest2.spec.js","",""
"","4486","API response intercepting and replacing","","2026-06-26","passed","2026-06-26","","networkTest.spec.js","",""
"","5513","Calendar Validations","","2026-06-26","passed","2026-06-26","","Calendar.spec.js","",""
"","1859","Visual","","2026-06-26","passed","2026-06-26","","moreValidations.spec.js","",""
"","7127","Popup validations","","2026-06-26","passed","2026-06-26","","moreValidations.spec.js","",""
"","5334","Browser Context Declaration","","2026-06-26","passed","2026-06-26","","UIBasicstest.spec.js","",""
"","5665","Validating visibility of elements","","2026-06-26","passed","2026-06-26","","moreValidations.spec.js","",""
